WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Die Tierschutzpartei_S1,Die Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ödp_S1,ödp_S2,PIRATEN_S1,PIRATEN_S2,RRP_S1,RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
50,Braunschweig,189 975,139 948,1 736,1 535,138 212,138 413,53 572,39 774,47 584,40 135,7 507,15 845,10 801,13 763,12 012,19 831,0,0,1 310,1 324,0,0,0,0,0,1 114,0,0,118,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,184,4 214,4 962,0,1 270,0,0,1 094
51,Helmstedt – Wolfsburg,187 831,135 261,2 196,1 790,133 065,133 471,46 064,42 391,52 427,45 319,8 480,14 114,10 216,11 309,10 692,11 801,0,0,3 023,2 606,0,0,0,0,0,1 176,415,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,112,0,2 905,1 748,1 591,0,0,0
52,Goslar – Northeim – Osterode,214 330,156 221,2 638,2 047,153 583,154 174,60 107,50 912,54 451,46 256,12 719,21 481,14 083,14 988,9 624,12 983,0,0,2 599,2 352,0,0,0,0,0,1 247,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,144,0,2 787,0,866,0,0,0
53,Göttingen,224 468,166 515,2 227,1 908,164 288,164 607,60 483,48 788,56 503,47 343,10 765,22 086,12 493,14 635,21 360,23 708,0,0,2 323,2 072,0,0,0,0,0,1 176,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,195,0,3 707,0,724,0,0,361
54,Bremen I,256 131,188 189,2 557,2 099,185 632,186 090,62 588,52 387,53 255,46 284,13 587,21 021,21 226,24 883,31 564,32 556,0,0,2 012,1 567,0,247,0,0,0,0,0,458,343,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,4 564,0,1 617,0,0,1 057
55,Bremen II – Bremerhaven,231 847,154 838,2 691,2 317,152 147,152 521,58 879,50 032,39 186,34 680,10 850,14 947,21 647,23 486,16 985,19 727,0,0,2 614,2 045,0,330,0,0,0,0,0,397,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,0,0,0,3 610,1 563,2 527,0,0,423
56,Prignitz – Ostprignitz-Ruppin – Havelland I,171 705,108 017,3 477,3 020,104 540,104 997,33 532,29 446,22 851,24 913,8 162,9 068,32 198,30 550,4 483,4 587,0,0,3 314,2 494,0,170,0,0,0,0,0,0,0,84,0,153,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,828,0,0,0,1 829,0,0,0,0,0
57,Uckermark – Barnim I,168 604,105 423,3 325,3 006,102 098,102 417,27 570,26 654,26 416,24 429,6 372,7 883,32 670,31 720,4 371,4 748,0,0,3 918,3 123,0,187,0,0,0,0,0,0,0,105,0,189,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0,686,0,0,0,1 952,0,0,0,0,781
58,Oberhavel – Havelland II,249 983,171 514,4 907,4 179,166 607,167 335,48 621,42 959,46 088,41 575,12 963,19 163,40 334,38 980,12 193,12 974,0,0,5 400,4 153,0,478,0,0,0,0,0,0,0,181,0,377,0,0,0,0,0,0,0,0,0,0,0,0,1 305,0,0,1 299,0,0,0,3 891,0,0,0,0,1 008
59,Märkisch-Oderland – Barnim II,255 845,174 098,4 674,4 419,169 424,169 679,38 545,36 651,39 959,36 678,11 139,15 335,62 644,57 051,8 195,10 225,0,0,6 096,4 381,0,423,0,0,0,0,0,0,0,210,0,327,0,0,0,0,0,0,0,0,0,0,0,0,2 144,0,0,1 731,0,0,0,4 523,0,0,0,0,2 846
