WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Tierschutzpartei_S1,Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ÖDP_S1,ÖDP_S2,PIRATEN_S1,PIRATEN_S2,Bündnis21/RRP_S1,Bündnis217RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
172,Lahn-Dill,212611,147952,3104,2730,144848,145222,47897,40485,60214,50391,12968,21137,9815,12133,11032,13382,,,2922,2236,,741,,,,1431,,,,40,,147,,,,,,,,,,,,,127,,,,,,,2972,,,,,
173,Gießen,214882,156108,3598,3357,152510,152751,52287,41649,55987,47442,16804,24009,10623,13713,13484,17988,,,2137,1706,,644,,,,1434,,,,43,,182,,,,,,,,,,,,,146,,,,,,,3795,,,,,1188
174,Fulda,210695,156363,3465,3141,152898,153222,35602,29960,77514,63835,15268,27119,10267,11590,11257,13158,,,2972,2306,,910,,,,1337,,,,54,,191,,,,,,,,,,,,,155,,,,,,,2607,,,,,18
175,Main-Kinzig  Wetterau II  Schotten,181422,132713,3530,3444,129183,129269,41711,31980,52895,43652,12321,22105,9127,10916,7982,12272,,,2954,2553,379,1203,,,1690,1635,,,,25,,164,,,,,,,,,,,,,137,,,,,,,2627,,,,,124
176,Hochtaunus,182246,141075,2300,2217,138775,138858,35257,29758,62748,49902,16255,27979,7522,9229,12976,15877,,,1081,1055,862,807,,,2074,1472,,,,26,,127,,,,,,,,,,,,,74,,,,,,,2552,,,,,
177,Wetterau I,173946,131624,2757,2617,128867,129007,42438,31677,53317,43285,11785,23124,7497,9336,9434,14730,,,2360,2197,,365,,,1785,1434,,,,30,,121,,,,,,,,,,,,,77,,,,,,,2631,,,,,251
178,Rheingau-Taunus  Limburg,221226,166456,3400,2837,163056,163619,45127,36352,75224,60875,17463,30530,9066,10853,13141,17210,,,1432,1490,1603,1133,,,,1665,,,,32,,174,,,,,,,,,,,,,106,,,,,,,3199,,,,,
179,Wiesbaden,187479,133425,2374,2221,131051,131204,42751,30892,53416,40831,12350,23194,9016,11333,10970,18560,,,1516,1070,,1049,,,,1005,,,,37,588,269,,,,,,,,,,,,,125,,,,,,,2839,,,,,444
180,Hanau,175874,128322,2768,2732,125554,125590,43514,30978,48218,39674,10972,21904,8909,11247,8536,13998,,,1577,1556,1385,1282,,,2443,1924,,,,38,,158,,,,,,,,,,,,,109,,,,,,,2722,,,,,
181,Main-Taunus,195505,155748,2821,2322,152927,153426,36629,29515,72680,56989,18588,33225,7718,8699,15618,18258,,,1694,1140,,701,,,,1437,,,,30,,165,,,,,,,,,,,,,110,,,,,,,3157,,,,,
182,Frankfurt am Main I,190058,132429,2217,2091,130212,130338,39147,29107,45866,36031,12876,22761,12031,14551,15701,20645,,,1327,1266,862,824,,,1879,1415,,,170,92,353,210,,,,,,,,,,,,,81,,,,,,,3355,,,,,
183,Frankfurt am Main II,212140,156548,2671,2150,153877,154398,45074,33243,55027,43089,14336,27031,11998,15397,23403,28225,,,1546,1183,,651,,,2077,1503,,,,62,416,190,,,,,,,,,,,,,102,,,,,,,3722,,,,,
184,Groß-Gerau,172278,128119,3099,2765,125020,125354,44973,35058,45410,37526,10177,18630,9449,11103,12072,15677,,,2457,1680,,1098,,,,1463,,,,60,,178,,,,,,,,,,,,,109,,,,,,,2772,,,,,482
185,Offenbach,221180,158857,3969,4213,154888,154644,44542,34376,62281,49267,15843,28409,11594,13813,15243,19863,,,2434,1766,,1068,,,2722,1858,,,,41,,198,,,,,,,,,,,,,150,,,,,,,3835,,,,,229
186,Darmstadt,233622,176435,3467,3050,172968,173385,60581,43605,60536,49924,13553,26539,11213,14869,20963,29727,,,1860,1501,,788,,,,1650,,,,87,,173,,,,,,,,396,,,,,132,,,,,,3866,4390,,,,,
187,Odenwald,234911,176808,5386,4959,171422,171849,50797,42756,69191,56677,18409,29697,11574,13403,16215,19379,,,2183,1907,1772,1723,,,,1765,,,,79,,228,,,,,,,,,,,,,137,,,,,,,4098,,,,,1281
188,Bergstraße,199708,148308,3135,2708,145173,145600,44903,35748,64472,50275,12966,25219,9171,10891,11296,15683,,,2365,1607,,1458,,,,1618,,,,41,,165,,,,,,,,,,,,,113,,,,,,,2782,,,,,
189,Eichsfeld  Nordhausen  Unstrut-Hainich-Kreis I,204717,136404,1658,1545,134746,134859,22854,22341,57882,51863,9942,14382,33005,32391,5540,6507,,,3798,3631,,299,,,,,,,,127,,,,,,,,,,,,,,,,,,,1416,1009,,2309,,,,,309
190,Eisenach  Wartburgkreis  Unstrut-Hainich-Kreis II,201700,131047,1984,1912,129063,129135,29106,23845,44903,42063,8211,11921,35666,36508,4921,6451,,,4864,4607,,467,,,,,,,,268,,,,,,,,,,,,,,,,,,,,489,,2516,,,,,1392
191,Kyffhäuserkreis  Sömmerda  Weimarer Land I,201075,128032,1860,1843,126172,126189,22839,21710,42706,39723,9808,12671,39605,37959,5762,6074,,,4857,4385,,491,,,,,,,,186,,,,,,,,,,,,,,,,,,,,406,,2584,,,,,595
192,Gotha  Ilm-Kreis,214510,139919,2112,1971,137807,137948,37032,27092,40063,42479,10056,12393,35942,38257,7391,7608,,,5475,4924,,513,,,,,,,,191,,,,,,,,,,,,,,,,,,,,499,,3992,,,,,1848
193,Erfurt  Weimar  Weimarer Land II,225534,151129,1962,1637,149167,149492,33468,26879,45899,41750,8889,13419,43013,41765,12129,15620,,,4149,3760,,451,,,,,,,,293,,,,,,,,,,,,,,,,,,,,600,,4955,,,,,1620
194,Gera  Jena  Saale-Holzland-Kreis,245228,164803,2274,1893,162529,162910,34658,28034,46590,44951,15695,16832,49344,48724,11471,13243,,,4771,4209,,574,,,,,,,,190,,,,,,,,,,,,,,,,,,,,634,,5519,,,,,
