Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei
22.09.2013;3436;;Schmidt;Renate (Gisela);1959;MLPD
22.09.2013;3437;;Schmidt;Rudolf Lothar;1951;DIE LINKE
22.09.2013;3438;;Schmidt;Sebastian;1987;FREIE WÄHLER
22.09.2013;3439;;Schmidt;Stefan Rupert;1981;GRÜNE
22.09.2013;3440;;Schmidt;Steffen;1965;FREIE WÄHLER
22.09.2013;3441;;Schmidt;Sven;1973;AfD
22.09.2013;3442;;Schmidt;Ulla;1949;SPD
22.09.2013;3443;;Schmidt;Wiebke;1985;FDP
22.09.2013;3444;;Schmidt-Berg;Lars;1978;CDU
22.09.2013;3445;;Schmidtke;Sebastian;1985;NPD
22.09.2013;3446;;Schmidtsdorff-Aicher;Renate Johanna;1942;DIE FRAUEN
22.09.2013;3447;;Schmitsdorf;Klaus;1949;DIE LINKE
22.09.2013;3448;;Schmitt;Markus;1966;GRÜNE
22.09.2013;3449;;Schmitt;Oliver Maria;1966;Die PARTEI
22.09.2013;3450;;Schmitt;Peter;1966;ÖDP
22.09.2013;3451;;Schmitt;Roman;1984;PIRATEN
22.09.2013;3452;;Schmitt;Ronja;1989;CDU
22.09.2013;3453;;Schmitt;Thomas;1973;CDU
22.09.2013;3454;Dr. ;Schmitz;Christian Zlatko;1975;SPD
22.09.2013;3455;;Schmitz;Hans Werner Karl;1951;AfD
22.09.2013;3456;;Schmitz;Thomas;1961;CDU
22.09.2013;3457;Dr. ;Schmitz-Rixen;Jutta;1944;CDU
22.09.2013;3458;;Schmitz-Stadtfeld;Marion;1962;SPD
22.09.2013;3459;;Schmolt;Mike;1980;Die PARTEI
22.09.2013;3460;;Schmück;Ulrich;1961;FDP
22.09.2013;3461;;Schnabel;Philipp;1986;PIRATEN
22.09.2013;3462;;Schneider;Carsten;1976;SPD
22.09.2013;3463;Dr. ;Schneider;Heinz-Joachim Hubert;1939;REP
22.09.2013;3464;;Schneider;Helmut;1958;AfD
22.09.2013;3465;;Schneider;Johannes;1957;ÖDP
22.09.2013;3466;;Schneider;Kevin;1991;FDP
22.09.2013;3467;;Schneider;Klaus;1948;FREIE WÄHLER
22.09.2013;3468;;Schneider;Maik;1987;NPD
22.09.2013;3469;;Schneider;Maria Magdalena;1940;CDU
22.09.2013;3470;;Schneider;Mario Dieter;1971;ÖDP
22.09.2013;3471;;Schneider;Matthias;1960;GRÜNE
22.09.2013;3472;;Schneider;Norbert;1964;DIE LINKE
